web-scraper-order,web-scraper-start-url,nama_produk,diskon_produk,harga_produk
"1696863373-1","https://www.klikindomaret.com/category/sarapan","Puck Cream Cheese Spread 140G","68%
Rp 30.900","Rp 10.000"
"1696863373-2","https://www.klikindomaret.com/category/sarapan","Madu Enak Manuka Honey 250G","44%
Rp 56.600","Rp 31.600"
"1696863373-3","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Corn Flakes Classic 150G","34%
Rp 23.700","Rp 15.700"
"1696863373-4","https://www.klikindomaret.com/category/sarapan","Quaker Minuman Sereal 3 In 1 Cokelat 8X28G","34%
Rp 26.900","Rp 17.800"
"1696863373-5","https://www.klikindomaret.com/category/sarapan","Quaker Minuman Sereal 3 In 1 Vanilla 8X28G","34%
Rp 26.900","Rp 17.800"
"1696863373-6","https://www.klikindomaret.com/category/sarapan","Quaker Oatmeal Instant Merah 800G","33%
Rp 49.500","Rp 33.000"
"1696863373-7","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Froot Loops 150G","31%
Rp 25.900","Rp 17.900"
"1696863373-8","https://www.klikindomaret.com/category/sarapan","Bella Spread Choco Cashew 300G","24%
Rp 28.900","Rp 21.900"
"1696863373-9","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Combo Pack Koko Krunch 32G","18%
Rp 9.200","Rp 7.500"
"1696863373-10","https://www.klikindomaret.com/category/sarapan","Indomaret Jam Pineapple 170G","17%
Rp 13.200","Rp 11.000"
"1696863373-11","https://www.klikindomaret.com/category/sarapan","Ceres Choco Spread Choco Hazelnut 200G","15%
Rp 31.700","Rp 26.900"
"1696863373-12","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Cokelat 55G","15%
Rp 9.400","Rp 8.000"
"1696863373-13","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Strawberry 55G","15%
Rp 9.400","Rp 8.000"
"1696863373-14","https://www.klikindomaret.com/category/sarapan","Indomaret Jam Strawberry 170G","14%
Rp 15.100","Rp 13.000"
"1696863373-15","https://www.klikindomaret.com/category/sarapan","Indomaret Coklat Meises 225g","13%
Rp 11.500","Rp 10.000"
